financial_year,insurer,uin,product_name,date_of_approval,document_url,document_filename,local_file_path,r2_url,type_of_product,archive_status,scraped_at
2022-2023,Bajaj Allianz General Insurance Co. Ltd.,BAJHLIP23020V012223,Global Health Care,06-05-2022,https://irdai.gov.in/documents/37343/931203/BAJHLIP23020V012223.pdf/fc18c97a-baf7-336e-bd80-e637b32dcb7d?version=1.0&t=1667711515563&download=true,BAJHLIP23020V012223.pdf,,https://insurance-data.r2.dev/health/2022-2023/Bajaj-Allianz-General-Insurance-Co.-Ltd./BAJHLIP23020V012223_Global-Health-Care.pdf,Individual,Non-Archived,2025-12-01T04:39:00.833624
2022-2023,HDFC ERGO General Insurance Company Limited.,HDFHLIP23024V072223,Easy Health,20-05-2022,https://irdai.gov.in/documents/37343/931203/HDFHLIP23024V072223.pdf/4bb864b2-c358-cde0-9230-9ae57c2097cd?version=1.0&t=1667711499204&download=true,HDFHLIP23024V072223.pdf,,https://insurance-data.r2.dev/health/2022-2023/HDFC-ERGO-General-Insurance-Company-Limited./HDFHLIP23024V072223_Easy-Health.pdf,Revision,Non-Archived,2025-12-01T04:39:00.834008
2022-2023,Navi General Insurance Ltd.,NAVHLIP23003V012223,Navi Smart Health,01-04-2022,https://irdai.gov.in/documents/37343/931203/NAVHLIP23003V012223.pdf/9577514a-6bf3-b51e-5a54-5e7f050e2550?version=1.0&t=1669349979791&download=true,NAVHLIP23003V012223.pdf,,https://insurance-data.r2.dev/health/2022-2023/Navi-General-Insurance-Ltd./NAVHLIP23003V012223_Navi-Smart-Health.pdf,Individual,Non-Archived,2025-12-01T04:39:00.834534
2022-2023,Niva Bupa Health Insurance Company Limited,NBHHLIP23007V052223,Health Companion,05-05-2022,https://irdai.gov.in/documents/37343/931203/NBHHLIP23007V052223.pdf/106c00c6-3b29-7c1c-afea-770854505528?version=1.0&t=1669350170763&download=true,NBHHLIP23007V052223.pdf,,https://insurance-data.r2.dev/health/2022-2023/Niva-Bupa-Health-Insurance-Company-Limited/NBHHLIP23007V052223_Health-Companion.pdf,Revision,Non-Archived,2025-12-01T04:39:00.834647
2022-2023,SBI General Insurance Company Limited,SBIHLIP23050V012223,Super Health Insurance,23-06-2022,https://irdai.gov.in/documents/37343/931203/SBIHLIP23050V012223.pdf/de34fc22-e5b0-d313-41b1-9bcd4243d600?version=1.0&t=1669351245742&download=true,SBIHLIP23050V012223.pdf,,https://insurance-data.r2.dev/health/2022-2023/SBI-General-Insurance-Company-Limited/SBIHLIP23050V012223_Super-Health-Insurance.pdf,Individual,Non-Archived,2025-12-01T04:39:00.835206
2022-2023,Shriram General Insurance Co. Ltd,SGLHLIP23019V012223,Shri Sarv -Care Health Benefit Package Policy,26-04-2022,https://irdai.gov.in/documents/37343/931203/SGLHLIP23019V012223.pdf/513a488f-883e-f853-8faa-df485b623e3a?version=1.0&t=1669351648133&download=true,SGLHLIP23019V012223.pdf,,https://insurance-data.r2.dev/health/2022-2023/Shriram-General-Insurance-Co.-Ltd/SGLHLIP23019V012223_Shri-Sarv-Care-Health-Benefit-Package-Policy.pdf,Individual,Non-Archived,2025-12-01T04:39:00.835447
2022-2023,Star Health And Allied Insurance Co. Ltd,SHAHLIP23017V012223,Star Health Assure Insurance Policy,22-04-2022,https://irdai.gov.in/documents/37343/931203/SHAHLIP23017V012223.pdf/f5426aca-4328-7a97-f93a-aba9e739e2bb?version=1.0&t=1669352686338&download=true,SHAHLIP23017V012223.pdf,,https://insurance-data.r2.dev/health/2022-2023/Star-Health-And-Allied-Insurance-Co.-Ltd/SHAHLIP23017V012223_Star-Health-Assure-Insurance-Policy.pdf,Individual,Non-Archived,2025-12-01T04:39:00.835777
2022-2023,The New India Assurance Company Limited,NIAHLIP22025V012223,Yuva Bharat Health Policy,20-05-2022,https://irdai.gov.in/documents/37343/931203/NIAHLIP22025V012223.pdf/bdf10a99-9cc4-8bf3-2fd7-d3d34664f505?version=1.0&t=1669353303176&download=true,NIAHLIP22025V012223.pdf,,https://insurance-data.r2.dev/health/2022-2023/The-New-India-Assurance-Company-Limited/NIAHLIP22025V012223_Yuva-Bharat-Health-Policy.pdf,Individual,Non-Archived,2025-12-01T04:39:00.836102
2022-2023,The Oriental Insurance Company Limited,OICHLIP22010V042223,Happy Family Floater Policy 2021,11-04-2022,https://irdai.gov.in/documents/37343/931203/OICHLIP22010V042223.pdf/b8f4f473-3670-8936-c219-d87881338353?version=1.0&t=1669353756992&download=true,OICHLIP22010V042223.pdf,,https://insurance-data.r2.dev/health/2022-2023/The-Oriental-Insurance-Company-Limited/OICHLIP22010V042223_Happy-Family-Floater-Policy-2021.pdf,Individual,Non-Archived,2025-12-01T04:39:00.836210
2022-2023,Universal Sompo General Insurance Co.,UNIHLIP23006V032223,Complete Health Care Insurance,05-04-2022,https://irdai.gov.in/documents/37343/931203/UNIHLIP23006V032223.pdf/a78a1bbf-533e-247a-b9a0-136768029158?version=1.0&t=1669354136950&download=true,UNIHLIP23006V032223.pdf,,https://insurance-data.r2.dev/health/2022-2023/Universal-Sompo-General-Insurance-Co./UNIHLIP23006V032223_Complete-Health-Care-Insurance.pdf,Revision,Non-Archived,2025-12-01T04:39:00.836447
2021-2022,Niva Bupa Health Insurance co ltd,NBHHLIP22155V032122,Health Pulse,03-09-2021,https://irdai.gov.in/documents/37343/931203/NBHHLIP22155V032122_HEALTH2136.pdf/bbc8c177-4cef-4002-123e-6d72fefccb33?version=1.1&t=1668766849277&download=true,NBHHLIP22155V032122_HEALTH2136.pdf,,https://insurance-data.r2.dev/health/2021-2022/Niva-Bupa-Health-Insurance-co-ltd/NBHHLIP22155V032122_Health-Pulse.pdf,Revision,Non-Archived,2025-12-01T04:39:00.838386
2021-2022,SBI General Insurance Co.Ltd.,SBIHLIP22138V042122,Health Insurance Policy – Retail,30-07-2021,https://irdai.gov.in/documents/37343/931203/SBIHLIP22138V042122_HEALTH2144.pdf/93390802-d6e4-8a5b-df26-8e5c71b3332c?version=1.1&t=1668767321266&download=true,SBIHLIP22138V042122_HEALTH2144.pdf,,https://insurance-data.r2.dev/health/2021-2022/SBI-General-Insurance-Co.Ltd./SBIHLIP22138V042122_Health-Insurance-Policy-–-Retail.pdf,Revision,Non-Archived,2025-12-01T04:39:00.839165
2021-2022,ICICI Lombard GI Co. Ltd.,ICIHLGP22083V022122,Health Shield 360,02-07-2021,https://irdai.gov.in/documents/37343/931203/ICIHLGP22083V022122_HEALTH2101.pdf/6b5ac086-3668-d92b-1d2d-0935976be059?version=1.1&t=1668842885975&download=true,ICIHLGP22083V022122_HEALTH2101.pdf,,https://insurance-data.r2.dev/health/2021-2022/ICICI-Lombard-GI-Co.-Ltd./ICIHLGP22083V022122_Health-Shield-360.pdf,Revision,Non-Archived,2025-12-01T04:39:00.840157
